"Key","mean.weight","mean.nonweight","min","max","freq","Id","Name","Position","Source","Injury Indicator","Injury Details","PredictedPoints","Salary","Team","Opponent","Home","NameRM","deepBonus","mean"
"RBdevontaebooker",14.0505714177,10.3328570885,5.685714177,14.98,2,"16711-39580","Devontae Booker","RB","FanDuel","","",5.685714177,5600,"DEN","SD",TRUE,"devontaebooker",-0.177413985183706,11.5578035483776
"RBdevontafreeman",16.816428528,15.48214264,13.81428528,17.15,2,"16711-24920","Devonta Freeman","RB","FanDuel","","",13.81428528,6900,"ATL","GB",TRUE,"devontafreeman",-0.134678999536872,14.5516087580656
"RBdextermccluster",2.218,1.81,1.3,2.32,2,"16711-11454","Dexter McCluster","RB","FanDuel","","",1.3,4500,"SD","DEN",FALSE,"dextermccluster",0.0483436393916652,2.32522619217071
"RBdionlewis",1.459999956,7.29999978,0,14.59999956,2,"16711-14339","Dion Lewis","RB","FanDuel",NA,"Knee",14.59999956,4500,"NE","BUF",FALSE,"dionlewis",-0.408866683391568,0.863054616238445
"RBdjfoster",1.033333302,1.033333302,1.033333302,1.033333302,1,"16711-29183","D.J. Foster","RB","FanDuel","","",1.033333302,4500,"NE","BUF",FALSE,"djfoster",0,1.033333302
"RBdukejohnsonjr",8.17142868,8.17142868,8.17142868,8.17142868,1,"16711-25837","Duke Johnson Jr.","RB","FanDuel","","",8.17142868,5100,"CLE","NYJ",TRUE,"dukejohnsonjr",0.413378868374057,11.5493246207377
"RBdwaynewashington",4.7065000095,4.2925000475,3.775000095,4.81,2,"16711-34729","Dwayne Washington","RB","FanDuel","","",3.775000095,5000,"DET","HOU",FALSE,"dwaynewashington",0,4.7065000095
"RBezekielelliott",17.724333308,18.26166654,17.59,18.93333308,2,"16711-38791","Ezekiel Elliott","RB","FanDuel","","",18.93333308,8500,"DAL","PHI",TRUE,"ezekielelliott",0.0645949466806632,18.8692356729806
"RBfozzywhittaker",4.807666654,5.87833327,4.54,7.21666654,2,"16711-37245","Fozzy Whittaker","RB","FanDuel","","",7.21666654,4800,"CAR","ARI",TRUE,"fozzywhittaker",-0.24667002072061,3.62175942084004
"RBfrankgore",12.712142879,12.960714395,12.65,13.27142879,2,"16711-6840","Frank Gore","RB","FanDuel","","",13.27142879,6300,"IND","KC",TRUE,"frankgore",0.132480378467862,14.3962523787475
"RBisaiahcrowell",10.666571385,11.652856925,10.42,12.88571385,2,"16711-54684","Isaiah Crowell","RB","FanDuel","","",12.88571385,5900,"CLE","NYJ",TRUE,"isaiahcrowell",0.374485672145296,14.6610495395975
"RBjacquizzrodgers",13.3089999847,11.0649999235,8.259999847,13.87,2,"16711-14336","Jacquizz Rodgers","RB","FanDuel","","",8.259999847,6600,"TB","OAK",TRUE,"jacquizzrodgers",0.0556638392358135,14.0498300202378
"RBjalenrichard",6.042857034,6.042857034,6.042857034,6.042857034,1,"16711-33578","Jalen Richard","RB","FanDuel","","",6.042857034,4900,"OAK","TB",FALSE,"jalenrichard",-0.180085910491818,4.95462362306022
"RBjameswhite",11.2709999782,10.394999891,9.299999782,11.49,2,"16711-28930","James White","RB","FanDuel","","",9.299999782,5800,"NE","BUF",FALSE,"jameswhite",-0.579127058145949,4.74365891846197
"RBjamizeolawale",2.144333346,2.76166673,1.99,3.53333346,2,"16711-23046","Jamize Olawale","RB","FanDuel","","",3.53333346,4500,"OAK","TB",FALSE,"jamizeolawale",-0.253798323065438,1.6001051386919
"RBjohnkuhn",1.5920000153,3.4800000765,1.12,5.840000153,2,"16711-7244","John Kuhn","RB","FanDuel","","",5.840000153,4500,"NO","SEA",TRUE,"johnkuhn",0.152699583313863,1.83509775427197
"RBjonathanstewart",10.9193333333,10.4366666665,9.833333333,11.04,2,"16711-6733","Jonathan Stewart","RB","FanDuel","","",9.833333333,6100,"CAR","ARI",TRUE,"jonathanstewart",-0.280983626894732,7.85117945003682
"RBjonathanwilliams",2.6340000006,1.530000003,0.150000006,2.91,2,"16711-31184","Jonathan Williams","RB","FanDuel","","",0.150000006,4500,"BUF","NE",TRUE,"jonathanwilliams",0.268987320941675,3.34251260412176
"RBjoshferguson",2.8223333333,3.2716666665,2.71,3.833333333,2,"16711-27692","Josh Ferguson","RB","FanDuel","","",3.833333333,4500,"IND","KC",TRUE,"joshferguson",0.382541705375998,3.90199353976011
"RBjustinforsett",4.0950000153,4.5150000765,3.99,5.040000153,2,"16711-6857","Justin Forsett","RB","FanDuel","","",5.040000153,5000,"DET","HOU",FALSE,"justinforsett",-0.0977542813999791,3.69469623147145
"RBkapribibbs",3.0766666683,2.1833333415,1.066666683,3.3,2,"16711-45683","Kapri Bibbs","RB","FanDuel","","",1.066666683,4500,"DEN","SD",TRUE,"kapribibbs",0.037453233336503,3.19189778292648
"RBkenjonbarner",1.7389999952,2.654999976,1.51,3.799999952,2,"16711-29357","Kenjon Barner","RB","FanDuel","","",3.799999952,4700,"PHI","DAL",FALSE,"kenjonbarner",-0.422354584429868,1.00452537490376
"RBkennethfarrow",1.1203333302,1.081666651,1.033333302,1.13,2,"16711-31874","Kenneth Farrow","RB","FanDuel","","",1.033333302,4500,"SD","DEN",FALSE,"kennethfarrow",0,1.1203333302
"RBkniledavis",5.0986666651,3.1733333255,0.766666651,5.58,2,"16711-31073","Knile Davis","RB","FanDuel","","",0.766666651,5300,"GB","ATL",FALSE,"kniledavis",0.29002666981419,6.57741597847157
"RBlataviusmurray",11.594000061,12.290000305,11.42,13.16000061,2,"16711-34331","Latavius Murray","RB","FanDuel","","",13.16000061,6200,"OAK","TB",FALSE,"lataviusmurray",-0.32045320878925,7.87866553874979
"RBlegarretteblount",12.856857099,14.044285495,12.56,15.52857099,2,"16711-11779","LeGarrette Blount","RB","FanDuel","","",15.52857099,6600,"NE","BUF",FALSE,"legarretteblount",-0.499083165235841,6.44021616304619
"RBmarkingram",12.024666718,12.44333359,11.92,12.96666718,2,"16711-14211","Mark Ingram","RB","FanDuel","","",12.96666718,6200,"NO","SEA",TRUE,"markingram",0.114871473916438,13.4059579072506
"RBmattforte",15.138714242,14.61357121,13.95714242,15.27,2,"16711-6899","Matt Forte","RB","FanDuel","","",13.95714242,7300,"NYJ","CLE",FALSE,"mattforte",0.123110171084143,17.0024439423266
"RBmelvingordon",14.109428659,16.067143295,13.62,18.51428659,2,"16711-28900","Melvin Gordon","RB","FanDuel","","",18.51428659,7200,"SD","DEN",FALSE,"melvingordon",-0.0702708769386088,13.1179467340293
"RBmiketolbert",1.8679999936,1.659999968,1.399999936,1.92,2,"16711-7975","Mike Tolbert","RB","FanDuel","","",1.399999936,4500,"CAR","ARI",TRUE,"miketolbert",-0.370176079768894,1.17651107896083
"RBpatrickdimarco",1.94,1.7,1.4,2,2,"16711-14683","Patrick DiMarco","RB","FanDuel","","",1.4,4500,"ATL","GB",TRUE,"patrickdimarco",-0.158271143580989,1.63295398145288
