"","id","Name","Position","PassingCompletions","PassingAttempts","PassingYards","PassingTD","Interceptions","RushingAttempts","RushingYards","RushingTD","Receptions","ReceptionYards","ReceptionTD","MiscFumTD","Misc2Point","FumblesLost","Source","PredictedPoints"
"3111","","Benjamin Cunningham","RB",0,0,0,0,0,38.3,157.7,1.2,24.3,198.4,0.5,-1,-1,-1,"ESPN",2.75
"3211","","Kenyan Drake","RB",0,0,0,0,0,28.5,112.3,0.6,13.3,96.1,0.4,-1,-1,-1,"ESPN",1.6
"3311","","Robert Turbin","RB",0,0,0,0,0,53.3,214.5,1,17.5,144,0.8,-1,-1,-1,"ESPN",2.85
"3411","","Chris Thompson","RB",0,0,0,0,0,49.3,221.3,1.1,43.1,358.9,1.5,-1,-1,-1,"ESPN",4.45625
"3511","","C.J. Spiller","RB",0,0,0,0,0,50.8,218.1,1.3,42.3,312.7,1.3,-1,-1,-1,"ESPN",4.2375
"3611","","Cameron Artis-Payne","RB",0,0,0,0,0,66.5,273.5,1.9,7.4,55.5,0.3,-1,-1,-1,"ESPN",2.7375
"3711","","Keith Marshall*","RB",0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,"ESPN",0.00625
"3811","","Mike Gillislee","RB",0,0,0,0,0,55.2,233.1,1.8,6.6,48.6,0.2,-1,-1,-1,"ESPN",2.4125
"3911","","Andre Ellington","RB",0,0,0,0,0,42,175.1,1.1,16.6,143.2,0.7,-1,-1,-1,"ESPN",2.54375
"4011","","Tyler Ervin","RB",0,0,0,0,0,65.1,262.3,1.8,12.4,91.8,0.4,-1,-1,-1,"ESPN",3.09375
"4111","","Branden Oliver*","RB",0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,"ESPN",0.025
"4211","","Khiry Robinson","RB",0,0,0,0,0,55.9,232.6,1.4,4.1,30.9,0.1,-1,-1,-1,"ESPN",2.1875
"4311","","Ronnie Hillman","RB",0,0,0,0,0,17,68.4,0.5,3.7,27.6,0.1,-1,-1,-1,"ESPN",0.71875
"451","","Darren McFadden*","RB",0,0,0,0,0,12.9,56.5,0.4,3.9,29.3,0.1,-1,-1,-1,"ESPN",0.6125
"521","","Lance Dunbar","RB",0,0,0,0,0,30.2,130.3,0.7,19.2,171.5,0.7,-1,-1,-1,"ESPN",2.3875
"621","","Zach Zenner","RB",0,0,0,0,0,57,243.9,1.8,4.6,35.2,0.1,-1,-1,-1,"ESPN",2.35625
